id,fullName,name,country,politicalGroup,nationalPoliticalGroup,acta,actavote,gdpr,gdprvote,article13,a13vote,biometrics30,biometrics31,biovote,terrorism,terrorvote
28508,Alyn SMITH,Smith,United Kingdom,Group of the Greens/European Free Alliance,Scottish National Party,2,good,1,good,2,good,2,2,good,2,good
24942,Ana MIRANDA,Miranda,Spain,Group of the Greens/European Free Alliance,Bloque Nacionalista Galego,4,none,4,none,4,none,2,2,good,4,none
188445,André ELISSEN,Elissen,Netherlands,Europe of Nations and Freedom Group,Partij voor de Vrijheid,4,none,4,none,2,good,2,2,good,2,good
125050,Ángela VALLINA,Vallina,Spain,Confederal Group of the European United Left - Nordic Green Left,Izquierda Xunida,4,none,4,none,4,none,2,2,good,2,good
125023,Anja HAZEKAMP,Hazekamp,Netherlands,Confederal Group of the European United Left - Nordic Green Left,Partij voor de Dieren,4,none,4,none,2,good,2,2,good,0,neutral
125037,Anne-Marie MINEUR,Mineur,Netherlands,Confederal Group of the European United Left - Nordic Green Left,Socialistische Partij,4,none,4,none,0,neutral,2,2,good,4,none
103246,Auke ZIJLSTRA,Zijlstra,Netherlands,Europe of Nations and Freedom Group,Partij voor de Vrijheid,2,good,0,neutral,2,good,2,2,good,2,good
96728,Barbara LOCHBIHLER,Lochbihler,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,1,bad
124810,Barbara SPINELLI,Spinelli,Italy,Confederal Group of the European United Left - Nordic Green Left,Independent,4,none,4,none,2,good,2,2,good,2,good
4751,Bart STAES,Staes,Belgium,Group of the Greens/European Free Alliance,Groen,2,good,1,good,1,bad,2,2,good,1,bad
96725,Bas EICKHOUT,Eickhout,Netherlands,Group of the Greens/European Free Alliance,GroenLinks,2,good,1,good,2,good,2,2,good,1,bad
124721,Benedek JÁVOR,Jávor,Hungary,Group of the Greens/European Free Alliance,Együtt 2014 - Párbeszéd Magyarországért,4,none,4,none,4,none,2,2,good,1,bad
124951,Bill ETHERIDGE,Etheridge,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
124993,Bodil VALERO,Valero,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna,4,none,4,none,2,good,2,2,good,2,good
125214,Bronis ROPĖ,Ropė,Lithuania,Group of the Greens/European Free Alliance,Lietuvos valstiečių ir žaliųjų sąjunga,4,none,4,none,2,good,2,2,good,1,bad
37312,Christel SCHALDEMOSE,Schaldemose,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,0,neutral,1,good,1,bad,1,0,none,1,bad
96852,Cornelia ERNST,Ernst,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.,2,good,1,good,2,good,2,2,good,0,neutral
125192,Curzio MALTESE,Maltese,Italy,Confederal Group of the European United Left - Nordic Green Left,Lista Tsipras-L'Altra Europa,4,none,4,none,4,none,2,2,good,0,neutral
124967,David COBURN,Coburn,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
124756,Davor ŠKRLEC,Škrlec,Croatia,Group of the Greens/European Free Alliance,Independent,4,none,4,none,2,good,2,2,good,1,bad
96748,Dennis de JONG,de Jong,Netherlands,Confederal Group of the European United Left - Nordic Green Left,Socialistische Partij,2,good,1,good,0,neutral,2,2,good,4,none
124939,Diane JAMES,James,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,4,none,2,2,good,2,good
124822,Dietmar KÖSTER,Köster,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands,4,none,4,none,2,good,1,2,good,0,neutral
192298,Dobromir SOŚNIERZ,Sośnierz,Poland,Non-attached Members,Wolność,4,none,4,none,2,good,0,2,none,2,good
124947,Edouard MARTIN,Edouard Martin,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste,4,none,4,none,1,bad,2,2,good,1,bad
125072,Eleftherios SYNADINOS,Synadinos,Greece,Non-attached Members,Patriotic Radical Union (PAT.RI.E.),4,none,4,none,1,bad,2,2,good,2,good
125193,Eleonora FORENZA,Forenza,Italy,Confederal Group of the European United Left - Nordic Green Left,Lista Tsipras-L'Altra Europa,4,none,4,none,2,good,2,2,good,2,good
124804,Elly SCHLEIN,Schlein,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,-,4,none,4,none,2,good,1,2,good,1,bad
24505,Emmanuel MAUREL,Maurel,France,Confederal Group of the European United Left - Nordic Green Left,Parti socialiste,4,none,4,none,1,bad,2,2,good,0,neutral
124972,Ernest URTASUN,Urtasun,Spain,Group of the Greens/European Free Alliance,Iniciativa per Catalunya Verds,4,none,4,none,2,good,2,2,good,1,bad
131749,Estefanía TORRES MARTÍNEZ,Torres Martínez,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,4,none,2,2,good,0,neutral
96883,Eva JOLY,Joly,France,Group of the Greens/European Free Alliance,Europe Écologie,2,good,1,good,0,neutral,2,2,good,1,bad
26146,Florent MARCELLESI,Marcellesi,Spain,Group of the Greens/European Free Alliance,EQUO,4,none,4,none,2,good,2,2,good,1,bad
28248,Gabriele ZIMMER,Zimmer,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.,2,good,1,good,2,good,2,2,good,4,none
190774,Geoffroy DIDIER,Didier,France,Group of the European People's Party (Christian Democrats),Les Républicains,4,none,4,none,1,bad,2,2,good,2,good
125071,Georgios EPITIDEIOS,Epitideios,Greece,Non-attached Members,Popular Association – Golden Dawn,4,none,4,none,1,bad,2,2,good,2,good
28497,Gerard BATTEN,Batten,United Kingdom,Europe of Nations and Freedom Group,United Kingdom Independence Party,2,good,2,bad,2,good,0,2,none,2,good
96870,Gesine MEISSNER,Meissner,Germany,Group of the Alliance of Liberals and Democrats for Europe,Freie Demokratische Partei,0,neutral,1,good,2,good,0,0,neutral,2,good
28240,Helga TRÜPEL,Trüpel,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,1,bad,2,2,good,1,bad
96646,Helmut SCHOLZ,Scholz,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.,2,good,1,good,2,good,2,2,good,4,none
125003,Igor ŠOLTES,Šoltes,Slovenia,Group of the Greens/European Free Alliance,Lista dr. Igorja Šoltesa,4,none,4,none,2,good,2,2,good,1,bad
97136,Indrek TARAND,Tarand,Estonia,Group of the Greens/European Free Alliance,Sõltumatu,2,good,1,good,2,good,0,0,neutral,1,bad
72754,Innocenzo LEONTINI,Leontini,Italy,European Conservatives and Reformists Group,FRATELLI D' ITALIA,4,none,4,none,1,bad,1,0,none,4,none
114279,Isabelle THOMAS,Thomas,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,"Génération.s, le mouvement",2,good,1,good,1,bad,2,2,good,1,bad
183338,Jakop DALUNDE,Dalunde,Sweden,Group of the Greens/European Free Alliance,Miljöpartiet de gröna,4,none,4,none,2,good,2,2,good,2,good
28331,Jaromír KOHLÍČEK,Kohlíček,Czechia,Confederal Group of the European United Left - Nordic Green Left,Komunistická strana Čech a Moravy,2,good,4,none,2,good,2,2,good,2,good
125997,Javier COUSO PERMUY,Couso Permuy,Spain,Confederal Group of the European United Left - Nordic Green Left,Independiente,4,none,4,none,2,good,2,2,good,2,good
4531,Jean LAMBERT,Lambert,United Kingdom,Group of the Greens/European Free Alliance,Green Party,2,good,1,good,2,good,2,2,good,1,bad
4550,Jill EVANS,Evans,United Kingdom,Group of the Greens/European Free Alliance,Plaid Cymru - Party of Wales,2,good,1,good,2,good,2,2,good,1,bad
124950,Jill SEYMOUR,Seymour,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
23704,Jiří MAŠTÁLKA,Maštálka,Czechia,Confederal Group of the European United Left - Nordic Green Left,Komunistická strana Čech a Moravy,2,good,1,good,2,good,2,2,good,2,good
189507,Jiří PAYNE,Payne,Czechia,Europe of Freedom and Direct Democracy Group,Strana svobodných občanů,4,none,4,none,2,good,2,2,good,2,good
136236,João PIMENTA LOPES,Pimenta Lopes,Portugal,Confederal Group of the European United Left - Nordic Green Left,Partido Comunista Português,4,none,4,none,2,good,2,2,good,2,good
124958,Jonathan ARNOTT,Arnott,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,0,neutral
188733,Jonathan BULLOCK,Bullock,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
185974,Jordi SOLÉ,Solé,Spain,Group of the Greens/European Free Alliance,Esquerra Republicana de Catalunya,4,none,4,none,2,good,2,2,good,1,bad
96744,José BOVÉ,Bové,France,Group of the Greens/European Free Alliance,Europe Écologie,2,good,1,good,1,bad,2,2,good,0,neutral
124932,Josep-Maria TERRICABRAS,Terricabras,Spain,Group of the Greens/European Free Alliance,Esquerra Republicana de Catalunya,4,none,4,none,2,good,2,2,good,2,good
96815,Judith SARGENTINI,Sargentini,Netherlands,Group of the Greens/European Free Alliance,GroenLinks,2,good,1,good,2,good,2,2,good,1,bad
124816,Julia REDA,Reda,Germany,Group of the Greens/European Free Alliance,Piratenpartei Deutschland,4,none,4,none,2,good,2,2,good,2,good
106202,Julia REID,Reid,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,4,none
96868,Karima DELLI,Delli,France,Group of the Greens/European Free Alliance,Europe Écologie,2,good,1,good,0,neutral,2,2,good,1,bad
23699,Kateřina KONEČNÁ,Konečná,Czechia,Confederal Group of the European United Left - Nordic Green Left,Komunistická strana Čech a Moravy,4,none,4,none,2,good,2,2,good,2,good
102931,Keith TAYLOR,Taylor,United Kingdom,Group of the Greens/European Free Alliance,Green Party,4,none,4,none,2,good,2,2,good,1,bad
124818,Klaus BUCHNER,Buchner,Germany,Group of the Greens/European Free Alliance,Ökologisch-Demokratische Partei,4,none,4,none,2,good,2,2,good,1,bad
125093,Konstantinos PAPADAKIS,Konstantinos Papadakis,Greece,Non-attached Members,Communist Party of Greece,4,none,4,none,0,neutral,2,2,good,2,good
125092,Kostadinka KUNEVA,Kuneva,Greece,Confederal Group of the European United Left - Nordic Green Left,Coalition of the Radical Left,4,none,4,none,4,none,2,2,good,4,none
96661,Krisztina MORVAI,Morvai,Hungary,Non-attached Members,-,2,good,1,good,4,none,0,0,neutral,1,bad
125070,Lampros FOUNTOULIS,Fountoulis,Greece,Non-attached Members,Popular Association – Golden Dawn,4,none,4,none,1,bad,2,2,good,0,neutral
125035,Lola SÁNCHEZ CALDENTEY,Sánchez Caldentey,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,2,good,2,2,good,0,neutral
124985,Luke Ming FLANAGAN,Flanagan,Ireland,Confederal Group of the European United Left - Nordic Green Left,Independent,4,none,4,none,2,good,2,2,good,0,neutral
124984,Lynn BOYLAN,Boylan,Ireland,Confederal Group of the European United Left - Nordic Green Left,Sinn Féin,4,none,4,none,2,good,2,2,good,4,none
124992,Malin BJÖRK,Björk,Sweden,Confederal Group of the European United Left - Nordic Green Left,Vänsterpartiet,4,none,4,none,2,good,2,2,good,2,good
125025,Marcel de GRAAFF,de Graaff,Netherlands,Europe of Nations and Freedom Group,Partij voor de Vrijheid,4,none,4,none,4,none,2,2,good,2,good
124797,Marco AFFRONTE,Affronte,Italy,Group of the Greens/European Free Alliance,Federazione dei Verdi,4,none,4,none,2,good,2,2,good,1,bad
28161,Margrete AUKEN,Auken,Denmark,Group of the Greens/European Free Alliance,Socialistisk Folkeparti,2,good,1,good,2,good,2,2,good,2,good
124848,Maria HEUBUCH,Heubuch,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,4,none,4,none,1,bad,2,2,good,1,bad
125049,Maria Lidia SENRA RODRÍGUEZ,Senra Rodríguez,Spain,Confederal Group of the European United Left - Nordic Green Left,Alternativa galega de esquerda en Europa,4,none,4,none,2,good,2,2,good,2,good
188721,Marie-Pierre VIEU,Vieu,France,Confederal Group of the European United Left - Nordic Green Left,Front de Gauche,4,none,4,none,1,bad,2,2,good,2,good
96945,Marietje SCHAAKE,Schaake,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,Democraten 66,2,good,1,good,2,good,2,2,good,1,bad
125048,Marina ALBIOL GUZMÁN,Albiol Guzmán,Spain,Confederal Group of the European United Left - Nordic Green Left,Izquierda Unida,4,none,4,none,2,good,2,2,good,2,good
96820,Marisa MATIAS,Matias,Portugal,Confederal Group of the European United Left - Nordic Green Left,Bloco de Esquerda,2,good,1,good,2,good,2,2,good,0,neutral
96752,Martin HÄUSLING,Häusling,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,4,none
190517,Martin SCHIRDEWAN,Schirdewan,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.,4,none,4,none,2,good,2,2,good,0,neutral
124834,Martin SONNEBORN,Sonneborn,Germany,Non-attached Members,Die PARTEI,4,none,4,none,2,good,2,2,good,4,none
113959,Martina ANDERSON,Martina Anderson,United Kingdom,Confederal Group of the European United Left - Nordic Green Left,Sinn Fein,2,good,1,good,2,good,2,2,good,0,neutral
120478,Martina MICHELS,Michels,Germany,Confederal Group of the European United Left - Nordic Green Left,DIE LINKE.,4,none,1,good,2,good,2,2,good,2,good
124986,Matt CARTHY,Carthy,Ireland,Confederal Group of the European United Left - Nordic Green Left,Sinn Féin,4,none,4,none,2,good,2,2,good,0,neutral
124994,Max ANDERSSON,Andersson,Sweden,Group of the Greens/European Free Alliance,-,4,none,4,none,2,good,2,2,good,2,good
28238,Michael CRAMER,Cramer,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,4,none,2,2,good,1,bad
124894,Michał MARUSIK,Marusik,Poland,Europe of Nations and Freedom Group,Kongres Nowej Prawicy,4,none,4,none,2,good,2,2,good,2,good
124935,Michel REIMON,Reimon,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,4,none,4,none,2,good,2,2,good,1,bad
96743,Michèle RIVASI,Rivasi,France,Group of the Greens/European Free Alliance,Europe Écologie,2,good,1,good,0,neutral,2,2,good,2,good
131507,Miguel URBÁN CRESPO,Urbán Crespo,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,2,good,2,2,good,0,neutral
125100,Miguel VIEGAS,Viegas,Portugal,Confederal Group of the European United Left - Nordic Green Left,Partido Comunista Português,4,none,4,none,2,good,2,2,good,2,good
124750,Mireille D'ORNANO,D'Ornano,France,Europe of Freedom and Direct Democracy Group,Les Patriotes,4,none,4,none,1,bad,2,2,good,0,neutral
191695,Miroslavs MITROFANOVS,Mitrofanovs,Latvia,Group of the Greens/European Free Alliance,Latvijas Krievu savienība,4,none,4,none,2,good,2,2,good,4,none
124942,Molly SCOTT CATO,Scott Cato,United Kingdom,Group of the Greens/European Free Alliance,Green Party,4,none,4,none,2,good,2,2,good,1,bad
124934,Monika VANA,Vana,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,4,none,4,none,2,good,2,2,good,1,bad
96872,Nadja HIRSCH,Hirsch,Germany,Group of the Alliance of Liberals and Democrats for Europe,Freie Demokratische Partei,0,neutral,1,good,2,good,0,0,neutral,2,good
124965,Nathan GILL,Nathan Gill,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
4525,Nigel FARAGE,Farage,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,2,good,2,bad,2,good,2,2,good,4,none
26851,Nikolaos CHOUNTIS,Chountis,Greece,Confederal Group of the European United Left - Nordic Green Left,Popular Unity,2,good,1,good,2,good,2,2,good,2,good
125069,Notis MARIAS,Marias,Greece,European Conservatives and Reformists Group,Greece-The Alternative Road,4,none,4,none,4,none,2,2,good,2,good
125028,Olaf STUGER,Stuger,Netherlands,Europe of Nations and Freedom Group,Partij voor de Vrijheid,4,none,4,none,2,good,2,2,good,2,good
28154,Ole CHRISTENSEN,Christensen,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Socialdemokratiet,0,neutral,1,good,1,bad,1,0,none,1,bad
125047,Paloma LÓPEZ BERMEJO,López Bermejo,Spain,Confederal Group of the European United Left - Nordic Green Left,Izquierda Unida,4,none,4,none,0,neutral,2,2,good,2,good
124693,Pascal DURAND,Durand,France,Group of the Greens/European Free Alliance,Europe Écologie,4,none,4,none,4,none,2,2,good,1,bad
96735,Patrick LE HYARIC,Le Hyaric,France,Confederal Group of the European United Left - Nordic Green Left,Front de Gauche,2,good,1,good,1,bad,2,2,good,0,neutral
124940,Patrick O'FLYNN,O'Flynn,United Kingdom,Europe of Freedom and Direct Democracy Group,Social Democratic Party,4,none,4,none,2,good,2,2,good,4,none
96805,Paul NUTTALL,Nuttall,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,2,good,2,bad,4,none,2,2,good,4,none
96648,Philippe LAMBERTS,Lamberts,Belgium,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2,good,1,good,2,good,2,2,good,4,none
96739,Reinhard BÜTIKOFER,Bütikofer,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,1,bad
122885,Rina Ronja KARI,Kari,Denmark,Confederal Group of the European United Left - Nordic Green Left,Folkebevægelsen mod EU,4,none,1,good,2,good,2,2,good,0,neutral
193273,Romeo FRANZ,Franz,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,4,none,4,none,2,good,2,2,good,1,bad
96915,Sergio Gaetano COFFERATI,Cofferati,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sinistra Italiana,2,good,1,good,2,good,2,2,good,1,bad
96734,Ska KELLER,Ska Keller,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,4,none
28266,Sophia in 't VELD,in 't Veld,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,Democraten 66,2,good,1,good,2,good,2,2,good,1,bad
124997,Soraya POST,Post,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Feministiskt initiativ,4,none,4,none,4,none,2,2,good,0,neutral
125090,Sotirios ZARIANOPOULOS,Zarianopoulos,Greece,Non-attached Members,Communist Party of Greece,4,none,4,none,4,none,2,2,good,2,good
124902,Stanisław ŻÓŁTEK,Żółtek,Poland,Europe of Nations and Freedom Group,Kongres Nowej Prawicy,4,none,4,none,2,good,2,2,good,2,good
124863,Stefan ECK,Eck,Germany,Confederal Group of the European United Left - Nordic Green Left,Independent,4,none,4,none,2,good,2,2,good,0,neutral
130833,Stelios KOULOGLOU,Kouloglou,Greece,Confederal Group of the European United Left - Nordic Green Left,Coalition of the Radical Left,4,none,4,none,4,none,2,2,good,0,neutral
96730,Sven GIEGOLD,Giegold,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,1,bad
96907,Takis HADJIGEORGIOU,Hadjigeorgiou,Cyprus,Confederal Group of the European United Left - Nordic Green Left,Progressive Party of Working People - Left - New Forces,2,good,1,good,2,good,2,2,good,4,none
127330,Tania GONZÁLEZ PEÑAS,González Peñas,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,2,good,2,2,good,0,neutral
103381,Terry REINTKE,Reintke,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,4,none,4,none,2,good,2,2,good,1,bad
190464,Thomas WAITZ,Waitz,Austria,Group of the Greens/European Free Alliance,Die Grünen - Die Grüne Alternative,4,none,4,none,2,good,2,2,good,1,bad
193292,Tilly METZ,Metz,Luxembourg,Group of the Greens/European Free Alliance,Déi Gréng - Les Verts,4,none,4,none,2,good,2,2,good,1,bad
99650,Tim AKER,Aker,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,4,none,4,none,2,good,2,2,good,2,good
96958,William (The Earl of) DARTMOUTH,(The Earl of) Dartmouth,United Kingdom,Europe of Freedom and Direct Democracy Group,Independent,2,good,2,bad,2,good,2,2,good,4,none
28244,Wolf KLINZ,Klinz,Germany,Group of the Alliance of Liberals and Democrats for Europe,Freie Demokratische Partei,0,neutral,1,good,4,none,0,0,neutral,2,good
135490,Xabier BENITO ZILUAGA,Benito Ziluaga,Spain,Confederal Group of the European United Left - Nordic Green Left,PODEMOS,4,none,4,none,2,good,2,2,good,4,none
96740,Yannick JADOT,Jadot,France,Group of the Greens/European Free Alliance,Europe Écologie,2,good,1,good,0,neutral,2,2,good,1,bad
30482,Younous OMARJEE,Omarjee,France,Confederal Group of the European United Left - Nordic Green Left,L'union pour les Outremer,2,good,1,good,2,good,2,2,good,0,neutral
